solver,pair,n_legs,volume_usd,binance_n,binance_vw_edge_bps,binance_mean_edge_bps,hl_n,hl_vw_edge_bps,hl_mean_edge_bps
4fdbc608fd712338c7680c224f249360c855987cc25ec4501a9a47ef4c789264,USDT/ZEC,3,120.00,0,,,3,-29.92,-29.92
solver-ref.near,JAMBO/NEAR,1,116.59,0,,,0,,
solver-priv-liq.near,XAUT/USDT,1,114.47,0,,,0,,
sodax-solver.near,BTC/BNB,3,101.12,0,,,3,11.93,11.58
crux-solver.near,BTC/NEAR,3,101.06,0,,,3,4.18,3.53
solver-priv-liq.near,AAVE/USDT,1,100.93,0,,,1,11.96,11.96
4fdbc608fd712338c7680c224f249360c855987cc25ec4501a9a47ef4c789264,USDT/ETH,3,98.60,0,,,3,-16.93,-13.06
solver-priv-liq.near,USDT/LINK,1,98.12,0,,,1,8.37,8.37
crux-solver.near,XRP/TRX,2,95.41,0,,,2,9.50,8.69
sodax-solver.near,USDT/XLM,2,93.58,0,,,2,14.60,12.83
solver-priv-liq.near,USDT/PEPE,2,93.04,0,,,0,,
crux-solver.near,BTC/XRP,2,89.30,0,,,2,9.68,9.76
sodax-solver.near,ETH/AVAX,3,87.62,0,,,3,5.79,7.33
crux-solver.near,NEAR/BNB,2,87.35,0,,,2,16.72,17.42
sodax-solver.near,USDT/BTC,1,84.53,0,,,1,1.93,1.93
sodax-solver.near,ETH/POL,5,81.94,0,,,5,-0.25,-0.37
solver-priv-liq.near,USDT/AAVE,1,75.57,0,,,1,3.44,3.44
sodax-solver.near,BTC/POL,1,72.26,0,,,1,2.48,2.48
solver-priv-liq.near,BTC/NEAR,2,71.54,0,,,2,11.24,9.78
sodax-solver.near,SUI/SOL,1,69.15,0,,,1,8.36,8.36
solver-ref.near,RHEA/NEAR,1,68.99,0,,,0,,
atlas.mp-solver.near,USDC/USDT,1,68.24,0,,,1,9.81,9.81
solver-priv-liq.near,USDT/SHIB,2,62.49,0,,,0,,
4fdbc608fd712338c7680c224f249360c855987cc25ec4501a9a47ef4c789264,SOL/USDT,2,54.40,0,,,2,1.10,1.98
solver-priv-liq.near,GNO/USDT,2,49.80,0,,,0,,
solver-priv-liq.near,USDC/ADA,1,49.30,0,,,1,15.54,15.54
solver-priv-liq.near,PEPE/USDT,2,48.84,0,,,0,,
sodax-solver.near,AVAX/USDC,1,42.72,0,,,1,12.80,12.80
solver-ref.near,NPRO/NEAR,3,41.39,0,,,0,,
4fdbc608fd712338c7680c224f249360c855987cc25ec4501a9a47ef4c789264,ETH/USDT,1,39.87,0,,,1,-0.49,-0.49
solver-priv-liq.near,AURORA/USDT,1,39.26,0,,,0,,
0x2e30c32738a28833e3d85189c04895c25ee54cb5,USDC/ETH,1,38.30,0,,,1,1.84,1.84
solver-priv-liq.near,LINK/USDT,2,34.11,0,,,2,11.02,10.92
crux-solver.near,TRX/XRP,1,32.00,0,,,1,11.47,11.47
crux-solver.near,TRX/NEAR,2,31.95,0,,,2,15.38,16.22
4fdbc608fd712338c7680c224f249360c855987cc25ec4501a9a47ef4c789264,USDT/SOL,2,31.84,0,,,2,6.46,6.51
solver-priv-liq.near,USDT/TITN,1,30.00,0,,,0,,
solver-ref.near,BLACKDRAGON/NEAR,1,29.80,0,,,0,,
sodax-solver.near,USDT/POL,1,29.79,0,,,1,2.64,2.64
solver-priv-liq.near,USDC/SHIB,1,29.71,0,,,0,,
sodax-solver.near,AVAX/POL,1,26.91,0,,,1,6.70,6.70
solver-priv-liq.near,VVV/USDT,1,26.31,0,,,1,19.59,19.59
solver-priv-liq.near,UNI/USDT,2,25.83,0,,,2,30.44,30.44
solver-priv-liq.near,SAFE/USDT,1,23.49,0,,,0,,
0x2e30c32738a28833e3d85189c04895c25ee54cb5,USDT/BTC,1,23.49,0,,,1,7.71,7.71
solver-priv-liq.near,TITN/USDT,1,23.35,0,,,0,,
sodax-solver.near,POL/BTC,1,23.29,0,,,1,1.45,1.45
kipseli.near,USDT/BTC,1,21.99,0,,,1,3.52,3.52
solver-priv-liq.near,USDT/PENGU,1,19.45,0,,,1,12.02,12.02
solver-priv-liq.near,ADA/USDC,1,18.32,0,,,1,12.40,12.40
crux-solver.near,ETH/USDT0,1,17.76,0,,,1,3.71,3.71
crux-solver.near,USDT0/TRX,1,17.63,0,,,1,12.20,12.20
solver-priv-liq.near,XLM/USDT,1,16.63,0,,,1,9.72,9.72
